Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	
45128	0.242179	-0.019674	9.716020	0.053930	-0.002712	-0.140667	0.328261	0.155306	0.342498	-1.270277	-1.343405	2.455045	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45129	0.307063	0.003784	9.675664	0.030960	0.002381	-0.142020	0.330528	0.156111	0.344347	-1.250816	-1.343896	2.389509	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45130	0.415953	0.029324	9.674964	0.027741	0.007068	-0.156860	0.328809	0.157741	0.340718	-1.232638	-1.341771	2.315828	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45131	0.471384	0.028892	9.701477	0.039473	0.012521	-0.210143	0.330619	0.156899	0.344318	-1.208185	-1.338211	2.217662	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45132	0.432587	-0.064524	9.730468	0.040331	0.022459	-0.212764	0.328164	0.158769	0.342038	-1.183382	-1.329238	2.118648	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45133	0.204303	-0.416089	9.715543	0.022190	0.038272	-0.212579	0.330077	0.157572	0.344742	-1.167205	-1.313386	2.019073	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45134	0.066727	-0.405320	9.719935	0.024397	0.040043	-0.215019	0.325738	0.160176	0.340981	-1.150033	-1.295976	1.917278	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45135	-0.168778	-0.360042	9.750825	0.000827	0.025853	-0.164239	0.328571	0.159752	0.345357	-1.144760	-1.285341	1.840910	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45136	-0.222683	-0.337839	9.851012	-0.013176	0.022188	-0.099581	0.325493	0.160284	0.341739	-1.146805	-1.275330	1.796380	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45137	-0.126193	-0.357870	9.858403	-0.013866	0.025573	-0.058300	0.327307	0.159742	0.344660	-1.149800	-1.263534	1.770593	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45138	-0.008504	-0.346911	9.785836	-0.017137	0.002096	-0.049592	0.325069	0.159199	0.342801	-1.154281	-1.262639	1.750791	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45139	0.074084	-0.313943	9.781798	-0.016808	-0.019709	-0.033218	0.326673	0.161245	0.344497	-1.159046	-1.272091	1.737413	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45140	0.154977	-0.276134	9.792145	-0.016897	-0.021517	-0.033212	0.325769	0.162138	0.341280	-1.163586	-1.282313	1.721072	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45141	0.236399	-0.233546	9.780674	-0.018639	-0.023276	-0.034333	0.328807	0.161004	0.343863	-1.169245	-1.293463	1.707197	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45142	0.269266	-0.180937	9.767900	-0.007320	-0.018281	-0.008552	0.325169	0.161052	0.342584	-1.169474	-1.301902	1.706576	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45143	0.312057	-0.166894	9.744179	-0.016407	-0.019783	-0.022366	0.327755	0.160489	0.344945	-1.174169	-1.311318	1.698385	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45144	0.314213	-0.176552	9.724982	-0.006307	-0.016454	-0.015615	0.326194	0.160962	0.342990	-1.173836	-1.318954	1.694288	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45145	0.266995	-0.195351	9.762728	-0.002121	-0.012923	-0.018666	0.327449	0.160797	0.344491	-1.171733	-1.325103	1.687797	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45146	0.274975	-0.279538	9.792821	-0.003860	-0.009191	-0.031488	0.325517	0.162289	0.341239	-1.170054	-1.329426	1.673362	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45147	0.210195	-0.339096	9.803955	-0.021026	-0.003321	-0.035653	0.329103	0.160356	0.343273	-1.176858	-1.331165	1.658667	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45148	0.143275	-0.319313	9.795463	-0.027561	0.004005	-0.024017	0.325575	0.160814	0.341589	-1.186574	-1.329119	1.651469	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45149	0.098310	-0.309310	9.804346	-0.026606	0.002958	-0.004107	0.326825	0.160858	0.344140	-1.196464	-1.327476	1.651775	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45150	0.130392	-0.304748	9.823030	-0.031230	0.012944	0.007800	0.324854	0.160295	0.342317	-1.208282	-1.320846	1.657739	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45151	0.194766	-0.300458	9.838526	-0.022712	0.007259	0.016202	0.327201	0.160522	0.345003	-1.216595	-1.316898	1.667698	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
45152	0.250949	-0.190331	9.831227	-0.020361	0.002593	0.030919	0.325724	0.161018	0.342527	-1.223478	-1.314972	1.684173	0.000000000	0.000000000	0.000000	0.000000	0.000000	0.000000	
